번호,종목코드,종목명,산업카테고리,시가총액(억),현재 PER,추정 PER,전년 영업이익,추정 영업이익,추정 ROE,부채비율,이익성장률,DeltaPER
0,455890,RISE 머니마켓액티브,,28378.0,,,,,,,,
0,395270,HANARO Fn K-반도체,,28198.0,,,,,,,,
0,031980,피에스케이홀딩스,반도체와반도체장비,28139.0,30.69,26.0,734.0,946.0,19.55,15.5,0.28882833787465945,4.690000000000001
0,012750,에스원,상업서비스와공급품,28005.0,15.68,18.0,2346.0,1961.0,8.91,38.47,-0.16410912190963345,-2.3200000000000003
0,009970,영원무역홀딩스,"섬유,의류,신발,호화품",27673.0,7.56,7.56,7355.0,7355.0,12.83,32.34,0.0,0.0
0,161510,PLUS 고배당주,,28053.0,,,,,,,,
0,218410,RFHIC,통신장비,27616.0,96.12,66.0,309.0,531.0,11.96,37.77,0.7184466019417475,30.120000000000005
0,083650,비에이치아이,에너지장비및서비스,27571.0,42.29,42.29,755.0,1073.0,40.56,367.65,0.4211920529801325,0.0
0,483650,달바글로벌,화장품,27141.0,33.11,23.0,1015.0,1512.0,49.32,28.6,0.4896551724137932,10.11
0,229640,LS에코에너지,전기장비,27072.0,64.34,53.0,668.0,792.0,22.1,117.63,0.18562874251497008,11.340000000000003
0,257720,실리콘투,인터넷과카탈로그소매,27069.0,16.96,14.0,2054.0,2676.0,38.66,55.09,0.30282375851996113,2.960000000000001
0,494310,KODEX 반도체레버리지,,26844.0,,,,,,,,
0,395160,KODEX AI반도체,,26308.0,,,,,,,,
0,120110,코오롱인더,화학,26412.0,69.78,18.0,1089.0,2038.0,3.93,88.99,0.8714416896235078,51.78
0,001430,세아베스틸지주,철강,26179.0,46.59,32.0,984.0,1420.0,4.22,100.44,0.44308943089430897,14.590000000000003
0,0009K0,에임드바이오,생물공학,27033.0,454.35,454.35,208.0,208.0,5.13,3.32,0.0,0.0
0,103140,풍산,비철금속,26119.0,17.75,10.0,2974.0,3582.0,10.41,88.38,0.20443846671149957,7.75
0,030530,원익홀딩스,반도체와반도체장비,26029.0,94.93,94.93,-4.0,-4.0,2.78,51.37,0.0,0.0
0,292150,TIGER 코리아TOP10,,25495.0,,,,,,,,
